Identifiant arc,Libelle,Identifiant noeud amont,Identifiant noeud aval,cost
5124,Quai_Francois_Mauriac,2253,2703,0.08577863743655109
5335,PI_Courteline,532,531,457.1447156307662
6208,Bd_Magenta,664,3222,10.485414983674918
5533,Bd_Auguste_Blanqui,2900,2902,5.923979331259049
1917,Av_de_Clichy,2056,2054,6.602768218358094
5176,PE_Parc_Expo_Est,2731,2732,
1542,Pyrenees,766,3442,14.381681225901472
5335,PI_Courteline,532,531,
1951,Bd_des_Italiens,2137,2138,19.566369223236883
5124,Quai_Francois_Mauriac,2253,2703,0.08976437333164396
5335,PI_Courteline,532,531,331.5059739323899
4228,Bd_Haussmann,2261,2269,19.03954977945451
4750,Bd_de_Charonne,2527,2534,13.301754056341325
6208,Bd_Magenta,664,3222,
1917,Av_de_Clichy,2056,2054,13.214466796797506
5176,PE_Parc_Expo_Est,2731,2732,
1542,Pyrenees,766,3442,18.94768428405385
5335,PI_Courteline,532,531,426.8710840501135
1954,Bd_des_Capucines,2138,2139,12.685073162645432
5021,Rue_Fbg_St_Martin,835,2653,36.928849555549455
6416,Bd_de_Belleville,678,3322,12.355317104447357
5124,Quai_Francois_Mauriac,2253,2703,0.10079818283104819
5335,PI_Courteline,532,531,467.2315535049101
4228,Bd_Haussmann,2261,2269,10.415554505686897
4750,Bd_de_Charonne,2527,2534,5.965185027071071
5416,PE_Courcelles,2267,2733,527.9341880181597
1542,Pyrenees,766,3442,13.316382692912098
1952,Bd_des_Italiens,2138,2137,24.99256204535497
5021,Rue_Fbg_St_Martin,835,2653,
5124,Quai_Francois_Mauriac,2253,2703,0.08964791024376056
526,Bd_Sebastopol,311,313,13.396006113874554
4228,Bd_Haussmann,2261,2269,9.210069480336795
4750,Bd_de_Charonne,2527,2534,5.861835222302863
1409,Av_Gambetta,704,753,16.442467151850817
5416,PE_Courcelles,2267,2733,467.1753815289599
1443,Bd_Davout,768,764,12.683775605615267
5021,Rue_Fbg_St_Martin,835,2653,
5145,Joseph_Kessel,2712,816,18.398732030494923
526,Bd_Sebastopol,311,313,16.176143767181014
4228,Bd_Haussmann,2261,2269,9.89735465585397
4750,Bd_de_Charonne,2527,2534,10.477852049278553
1409,Av_Gambetta,704,753,14.718086528275347
5416,PE_Courcelles,2267,2733,479.9154265742983
1443,Bd_Davout,768,764,24.270941597841844
1963,4_Septembre,2146,2147,11.75749420462124
5021,Rue_Fbg_St_Martin,835,2653,24.40875832019968
5145,Joseph_Kessel,2712,816,17.081598849592268
526,Bd_Sebastopol,311,313,
5334,PI_Vincennes,533,532,432.35822405044473
4228,Bd_Haussmann,2261,2269,19.423367197749066
4750,Bd_de_Charonne,2527,2534,6.471934732999479
482,Sout._Van_Gogh_vers_Diderot,287,3226,16.059686682660956
1409,Av_Gambetta,704,753,17.68073170803025
5765,Bd_Pasteur,3016,3015,29.15497255786996
1442,Bd_Davout,768,762,19.857728836811273
5266,PE_Poterne,457,478,0.2734628180698721
1977,4_Septembre,2147,2148,11.75749420462124
6442,Neuve_Tolbiac,3331,2654,15.78144451282971
5145,Joseph_Kessel,2712,816,15.960529228460002
375,St_Antoine,219,218,9.538539295666276
526,Bd_Sebastopol,311,313,
5334,PI_Vincennes,533,532,
4228,Bd_Haussmann,2261,2269,20.626332278916856
482,Sout._Van_Gogh_vers_Diderot,287,3226,17.724069266563593
1409,Av_Gambetta,704,753,9.096624703656776
5765,Bd_Pasteur,3016,3015,12.47027484839107
1442,Bd_Davout,768,762,17.273434486030816
5266,PE_Poterne,457,478,293.19816303184
1964,4_Septembre,2148,2149,11.628123728258199
6442,Neuve_Tolbiac,3331,2654,5.785117182473771
5145,Joseph_Kessel,2712,816,16.696197994260682
375,St_Antoine,219,218,9.164584475017353
1345,Bd_Voltaire,686,730,8.992552891727264
5517,Quai_Francois_Mauriac,2253,2704,16.468579635445185
527,Bd_de_Strasbourg,313,314,14.453461649517266
5334,PI_Vincennes,533,532,
4228,Bd_Haussmann,2261,2269,19.347248275334916
482,Sout._Van_Gogh_vers_Diderot,287,3226,21.334089589494887
1409,Av_Gambetta,704,753,9.058431632866702
5910,Bd_Indochine,960,798,0.09036786205690754
5765,Bd_Pasteur,3016,3015,13.444477878749499
1449,Bd_Davout,769,3478,13.792403261060315
5266,PE_Poterne,457,478,
1978,4_Septembre,2149,2150,11.087479402460644
6442,Neuve_Tolbiac,3331,2654,10.766211390854334
5145,Joseph_Kessel,2712,816,24.975796082812032
375,St_Antoine,219,218,6.750243727267011
5517,Quai_Francois_Mauriac,2253,2704,18.27255051168358
527,Bd_de_Strasbourg,313,314,10.728313856007205
5334,PI_Vincennes,533,532,
4228,Bd_Haussmann,2261,2269,20.996717506358845
482,Sout._Van_Gogh_vers_Diderot,287,3226,15.24581251522472
1409,Av_Gambetta,704,753,18.167261558578023
5910,Bd_Indochine,960,798,5.075530059441855
5765,Bd_Pasteur,3016,3015,14.183587311395575
1449,Bd_Davout,769,3478,5.551918938632682
5266,PE_Poterne,457,478,
1979,Reaumur,2152,2153,11.087479402460644
6442,Neuve_Tolbiac,3331,2654,11.456220209355578
5145,Joseph_Kessel,2712,816,
375,St_Antoine,219,218,6.573661042894967
527,Bd_de_Strasbourg,313,314,15.494697555669909
5334,PI_Vincennes,533,532,
4222,AV_Friedland,2264,2266,9.25476463018697
1409,Av_Gambetta,704,753,14.464775452736125
