NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240220;0.0;1;6.0;1;624;9;9.3;1;1536;9;7.1;1;7.7;1;3.3;1;5.0;9;6.0;9;;;;;2.3;9;;;;;;;;;;;;;6.0;9;360;9;1900;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240221;12.0;1;5.8;1;218;9;11.6;1;548;9;8.1;1;8.7;1;5.8;1;5.0;9;5.4;9;;;;;4.4;9;;;;;;;;;;;;;13.0;9;360;9;1830;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240222;16.0;1;6.5;1;1548;9;12.8;1;1324;9;9.7;1;9.7;1;6.3;1;5.5;9;5.5;9;;;;;6.0;9;;;;;;;;;;;;;18.0;9;360;9;1542;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240223;1.0;1;3.7;1;636;9;8.5;1;1324;9;5.1;1;6.1;1;4.8;1;2.9;9;3.3;9;;;;;4.2;9;;;;;;;;;;;;;10.0;9;360;9;1642;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240224;4.5;1;2.7;1;642;9;7.9;1;1342;9;4.8;1;5.3;1;5.2;1;2.0;9;2.5;9;;;;;3.9;9;;;;;;;;;;;;;12.0;9;360;9;1606;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240225;8.0;1;4.0;1;454;9;8.3;1;200;9;6.1;1;6.2;1;4.3;1;4.0;9;4.0;9;;;;;3.6;9;;;;;;;;;;;;;10.0;9;360;9;1212;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240226;9.5;1;5.1;1;1754;9;9.7;1;1142;9;6.8;1;7.4;1;4.6;1;4.7;9;4.6;9;;;;;4.0;9;;;;;;;;;;;;;14.0;9;360;9;1830;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240227;0.0;1;4.0;1;800;9;8.6;1;1554;9;5.5;1;6.3;1;4.6;1;3.9;9;4.0;9;;;;;3.7;9;;;;;;;;;;;;;10.0;9;360;9;112;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240228;0.0;1;-0.1;1;648;9;9.1;1;1348;9;5.5;1;4.5;1;9.2;1;-3.8;9;-1.8;9;;;;;1.9;9;;;;;;;;;;;;;6.0;9;360;9;2354;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240229;3.5;1;7.3;1;830;9;10.2;1;1736;9;8.4;1;8.8;1;2.9;1;5.5;9;6.1;9;;;;;3.7;9;;;;;;;;;;;;;10.0;9;360;9;2218;9;;;;;;;;
