Identifiant arc,Libelle,Identifiant noeud amont,Identifiant noeud aval,cost
1442,Bd_Davout,768,762,17.951988468938673
5266,PE_Poterne,457,478,0.22290171221844904
1977,4_Septembre,2147,2148,16.030023959654557
6442,Neuve_Tolbiac,3331,2654,17.178303395397258
5145,Joseph_Kessel,2712,816,16.22548491908324
375,St_Antoine,219,218,7.8221274694008
526,Bd_Sebastopol,311,313,25.158330819040312
5334,PI_Vincennes,533,532,283.6653354316864
4228,Bd_Haussmann,2261,2269,18.3416447739565
482,Sout._Van_Gogh_vers_Diderot,287,3226,15.47800066087146
1409,Av_Gambetta,704,753,8.71132433049656
5765,Bd_Pasteur,3016,3015,15.76040534103618
1442,Bd_Davout,768,762,17.706965203625398
5266,PE_Poterne,457,478,233.6895374741667
1964,4_Septembre,2148,2149,15.837806482177234
6442,Neuve_Tolbiac,3331,2654,7.546450266755525
5145,Joseph_Kessel,2712,816,15.905442776063829
375,St_Antoine,219,218,7.579510387952705
1345,Bd_Voltaire,686,730,15.660703884022087
5517,Quai_Francois_Mauriac,2253,2704,16.524070648908953
527,Bd_de_Strasbourg,313,314,14.529313832685668
5334,PI_Vincennes,533,532,213.0098179180837
4228,Bd_Haussmann,2261,2269,16.5781456777346
482,Sout._Van_Gogh_vers_Diderot,287,3226,20.18785256617783
1409,Av_Gambetta,704,753,8.842788382711376
5910,Bd_Indochine,960,798,0.09549853360637135
5765,Bd_Pasteur,3016,3015,16.508529492380713
1449,Bd_Davout,769,3478,16.33233864910177
5266,PE_Poterne,457,478,286.47769827653667
1978,4_Septembre,2149,2150,16.11086451341214
6442,Neuve_Tolbiac,3331,2654,16.644934424528252
5145,Joseph_Kessel,2712,816,23.04685953517659
375,St_Antoine,219,218,8.476548088994392
5517,Quai_Francois_Mauriac,2253,2704,16.623437728320667
527,Bd_de_Strasbourg,313,314,13.054788105769042
5334,PI_Vincennes,533,532,233.1494223692842
4228,Bd_Haussmann,2261,2269,16.46047554499445
482,Sout._Van_Gogh_vers_Diderot,287,3226,16.836237760835964
1409,Av_Gambetta,704,753,17.781427130296958
5910,Bd_Indochine,960,798,8.024916198731177
5765,Bd_Pasteur,3016,3015,15.93236733353678
1449,Bd_Davout,769,3478,8.043866460579514
5266,PE_Poterne,457,478,0.2631182228894471
1979,Reaumur,2152,2153,16.11086451341214
6442,Neuve_Tolbiac,3331,2654,16.527662177917197
5145,Joseph_Kessel,2712,816,15.430653357573487
375,St_Antoine,219,218,7.655780252012645
527,Bd_de_Strasbourg,313,314,13.813880398304828
5334,PI_Vincennes,533,532,247.30572232798886
4222,AV_Friedland,2264,2266,8.269344556786823
1409,Av_Gambetta,704,753,17.424307859600347
5765,Bd_Pasteur,3016,3015,15.833978464067458
5266,PE_Poterne,457,478,0.2779643044112801
6442,Neuve_Tolbiac,3331,2654,15.431532806025583
5145,Joseph_Kessel,2712,816,7.950930669074115
375,St_Antoine,219,218,7.586868700015827
527,Bd_de_Strasbourg,313,314,13.694043889383954
5334,PI_Vincennes,533,532,447.9831401962724
4222,AV_Friedland,2264,2266,8.536297306068693
5765,Bd_Pasteur,3016,3015,15.909791472375241
5334,PI_Vincennes,533,532,437.4595759996153
5266,PE_Poterne,457,478,254.7851192430326
1970,Reaumur,2159,2694,15.979461960926809
5481,Bagnolet_bretelle_5,2877,2878,17.159466848536937
6442,Neuve_Tolbiac,3331,2654,16.064974321256123
5145,Joseph_Kessel,2712,816,8.38886467985051
376,St_Antoine,220,219,7.624712951324923
527,Bd_de_Strasbourg,313,314,13.780694048240903
5334,PI_Vincennes,533,532,300.8224310562297
4222,AV_Friedland,2264,2266,16.545281785170914
5334,PI_Vincennes,533,532,439.6806669759891
5266,PE_Poterne,457,478,363.5423516712011
5481,Bagnolet_bretelle_5,2877,2878,18.7928203740652
5145,Joseph_Kessel,2712,816,0.09874508300157644
376,St_Antoine,220,219,7.8221274694008
527,Bd_de_Strasbourg,313,314,14.360567739888507
5330,PE_Lagny,534,817,357.47704507186455
1920,Av_de_Clichy,2040,2039,8.211487645556858
5334,PI_Vincennes,533,532,279.4446167264243
5266,PE_Poterne,457,478,188.05042233705896
5481,Bagnolet_bretelle_5,2877,2878,20.753637174554726
5145,Joseph_Kessel,2712,816,0.09587080105147174
376,St_Antoine,220,219,7.396000780149993
527,Bd_de_Strasbourg,313,314,13.702040867765108
5330,PE_Lagny,534,817,515.4083256155475
1920,Av_de_Clichy,2040,2039,0.10243116579130306
5330,PE_Lagny,534,817,193.80042463889396
5266,PE_Poterne,457,478,0.24764095685671386
5481,Bagnolet_bretelle_5,2877,2878,20.842998728418344
5145,Joseph_Kessel,2712,816,7.62443809096225
376,St_Antoine,220,219,0.09417035089668445
5330,PE_Lagny,534,817,136.8995300985884
5266,PE_Poterne,457,478,236.20270906009378
1920,Av_de_Clichy,2040,2039,0.1012243234752043
5330,PE_Lagny,534,817,410.86046349694993
5266,PE_Poterne,457,478,27.075858546282117
4188,Bd_Kellermann,2244,458,8.548935228564533
5481,Bagnolet_bretelle_5,2877,2878,17.583648958773345
5019,Pt_de_Tolbiac,2654,816,16.309670368171872
376,St_Antoine,220,219,8.476548088994392
5330,PE_Lagny,534,817,414.69321022487554
5266,PE_Poterne,457,478,224.05159717475584
5409,PI_Revolte,2265,2086,0.21119729027202955
1411,Av_Gambetta,719,704,16.485401545789276
1920,Av_de_Clichy,2040,2039,0.10120032876117556
5330,PE_Lagny,534,817,396.9258695742053
5266,PE_Poterne,457,478,22.83176621733584
4189,Rivoli,2245,169,6.352952235832738
5481,Bagnolet_bretelle_5,2877,2878,17.561650879717586
5019,Pt_de_Tolbiac,2654,816,16.096099508358254
376,St_Antoine,220,219,7.512534196034065
5330,PE_Lagny,534,817,442.3730887833964
5266,PE_Poterne,457,478,0.2789228697672815
5409,PI_Revolte,2265,2086,23.37158769810073
1411,Av_Gambetta,719,704,16.629057678939255
1920,Av_de_Clichy,2040,2039,0.10324363959865543
5330,PE_Lagny,534,817,426.24030522080693
5266,PE_Poterne,457,478,26.72018558832297
4201,Bd_Berthier,2250,3658,8.39835753865503
5480,SI_A3_bretelle_2,2834,2878,0.199858894598508
5019,Pt_de_Tolbiac,2654,816,16.622771987632806
376,St_Antoine,220,219,7.655780252012645
1355,Bd_Voltaire,699,720,16.610961906321375
5330,PE_Lagny,534,817,291.1720756908353
5266,PE_Poterne,457,478,290.02295131169205
5409,PI_Revolte,2265,2086,28.138750168843572
1411,Av_Gambetta,719,704,8.191213764383603
1920,Av_de_Clichy,2040,2039,8.302267775761237
5266,PE_Poterne,457,478,33.96284777783333
5480,SI_A3_bretelle_2,2834,2878,27.50590904464366
5019,Pt_de_Tolbiac,2654,816,16.569793753243317
376,St_Antoine,220,219,7.586868700015827
1355,Bd_Voltaire,699,720,16.06738318103571
5266,PE_Poterne,457,478,344.88172562602745
5409,PI_Revolte,2265,2086,26.32140844482497
1411,Av_Gambetta,719,704,8.202757750902611
6642,Pyrenees,3439,725,16.568819038894123
5333,PI_Lagny,773,533,287.8502706703073
5266,PE_Poterne,457,478,0.2632639153249754
5480,SI_A3_bretelle_2,2834,2878,0.17806371150623676
5020,Pt_de_Tolbiac,816,2654,17.78859688150493
5019,Pt_de_Tolbiac,2654,816,17.38060747708776
5266,PE_Poterne,457,478,240.24087411230042
5409,PI_Revolte,2265,2086,333.31599945213003
1411,Av_Gambetta,719,704,17.89783368085531
6642,Pyrenees,3439,725,16.385725837176295
